course_id,room_id,slot_id,instructor_id,cohort_id,day,start_time,end_time
CSE 101,TECH 206,FRI_S6, ,CSE_Y1,Friday,13:00,14:15
CSE 511,TECH 100,WED_S4, ,CSE_GRAD,Wednesday,11:00,11:50
CSE 514,TECH 100,THU_S3, ,CSE_GRAD,Thursday,10:00,10:50
CSE 524,TECH 106,MON_S4, ,CSE_GRAD,Monday,11:00,11:50
CSE 588,TECH 206,FRI_S9, ,CSE_GRAD,Friday,16:00,17:15
CSE 474,AUD C1,FRI_S9,I018,CSE_Y4,Friday,16:00,17:15
CSE 418,AUD C1,FRI_S6,I027,CSE_Y4,Friday,13:00,14:15
CSE 342,HALL B,FRI_S1,I017,CSE_Y3,Friday,08:00,08:50
CSE 111,TECH 203,FRI_S1, ,CSE_Y1,Friday,08:00,08:50
CSE 421,HALL B,WED_S6,I025,CSE_Y4,Wednesday,13:00,14:15
CSE 341,HALL B,THU_S8,I023,CSE_Y3,Thursday,15:00,16:15
CSE 401,TECH 206,TUE_S3,I001,CSE_Y4,Tuesday,10:00,10:50
CSE 141,AUD 100,WED_S8,I012,CSE_Y1,Wednesday,15:00,16:15
CSE 151,AUD 100,MON_S1,I015,CSE_Y1,Monday,08:00,08:50
CSE 261,HALL B,TUE_S6,I014,CSE_Y2,Tuesday,13:00,14:15
CSE 251,AUD 100,WED_S7,I002,CSE_Y2,Wednesday,14:00,15:15
CSE 277,AUD 100,THU_S9,I007,CSE_Y2,Thursday,16:00,17:15
CSE 301,HALL B,MON_S9,I004,CSE_Y3,Monday,16:00,17:15
CSE 211,AUD 100,MON_S6,I020,CSE_Y2,Monday,13:00,14:15
CSE 361,TECH 106,WED_S3,I024,CSE_Y3,Wednesday,10:00,10:50
