course_id,room_id,slot_id,instructor_id,cohort_id,day,start_time,end_time
CSE 101,TECH 206,MON_S1, ,CSE_Y1,Monday,08:00,08:50
CSE 511,TECH 100,MON_S2, ,CSE_GRAD,Monday,09:00,09:50
CSE 514,TECH 100,MON_S3, ,CSE_GRAD,Monday,10:00,10:50
CSE 524,TECH 106,MON_S4, ,CSE_GRAD,Monday,11:00,11:50
CSE 588,TECH 206,MON_S5, ,CSE_GRAD,Monday,12:00,12:50
CSE 474,AUD C1,MON_S1,I018,CSE_Y4,Monday,08:00,08:50
CSE 418,AUD C1,MON_S2,I027,CSE_Y4,Monday,09:00,09:50
CSE 342,HALL B,MON_S1,I017,CSE_Y3,Monday,08:00,08:50
CSE 111,TECH 201,MON_S6, ,CSE_Y1,Monday,13:00,14:15
CSE 421,AUD C1,MON_S3,I026,CSE_Y4,Monday,10:00,10:50
CSE 341,HALL B,MON_S6,I021,CSE_Y3,Monday,13:00,14:15
CSE 401,TECH 100,MON_S4,I001,CSE_Y4,Monday,11:00,11:50
CSE 141,LAB 201,MON_S2,I012,CSE_Y1,Monday,09:00,09:50
CSE 151,TECH 101,MON_S3,I015,CSE_Y1,Monday,10:00,10:50
CSE 261,TECH 102,MON_S3,I014,CSE_Y2,Monday,10:00,10:50
CSE 251,AUD 100,MON_S6,I002,CSE_Y2,Monday,13:00,14:15
CSE 277,AUD 100,MON_S1,I007,CSE_Y2,Monday,08:00,08:50
CSE 301,AUD 100,MON_S3,I004,CSE_Y3,Monday,10:00,10:50
CSE 211,AUD 100,MON_S2,I020,CSE_Y2,Monday,09:00,09:50
CSE 361,AUD 100,MON_S4,I019,CSE_Y3,Monday,11:00,11:50
