course_id,course_number,level,instructors,rooms_mentioned,scheduling_context,term,notes
CSE 101,101,Undergraduate,,TECH 206,lecture/graduate classroom,Spring 2027,
CSE 107,107,Undergraduate,,LAB 201; SOUTH 205; CAMPUS-CTR 137,lab/section; requested off-site room,Spring 2027,
CSE 109,109,Undergraduate,,LAB 201; SOUTH 205,lab/section,Spring 2027,
CSE 111,111,Undergraduate,,TECH 201/202/203/204,discussion/lecture,Spring 2027,
CSE 141,141,Undergraduate,Thompson,AUD 100; TECH 201/202/203/204; LAB 201,lecture; discussion/lecture; overflow lab/section,Spring 2027,
CSE 151,151,Undergraduate,Robinson; White,AUD 100; TECH 101/102/103/104,lecture; discussion/lab,Spring 2027,
CSE 211,211,Undergraduate,Walker; Harris,AUD 100; TECH 101/102/103/104; TECH 201/202/203/204,lecture; discussion/lab; computer lab,Spring 2027,
CSE 218,218,Undergraduate,,TECH 100,upper-level/elective,Spring 2027,
CSE 251,251,Undergraduate,Johnson; Wright,AUD 100; TECH 101/102/103/104,lecture; discussion/lab,Spring 2027,
CSE 261,261,Undergraduate,Martinez,AUD 100; TECH 101/102/103/104; TECH 201/202/203/204; HALL B,lecture; discussion/lab; computer lab,Spring 2027,
CSE 277,277,Undergraduate,Thomas; Anderson,AUD 100; TECH 101/102/103/104,lecture; discussion/lab,Spring 2027,
CSE 301,301,Undergraduate,Wilson; Johnson,AUD 100; TECH 201/202/203/204; HALL B,lecture; computer lab,Spring 2027,
CSE 341,341,Undergraduate,Hall; Young,AUD 100; HALL B,lecture,Spring 2027,
CSE 342,342,Undergraduate,Rodriguez,AUD 100; HALL B,lecture,Spring 2027,
CSE 351,351,Undergraduate,,TECH 106,specialized/upper-level/graduate,Spring 2027,
CSE 361,361,Undergraduate,Lee; King,AUD 100; TECH 106; TECH 101/102/103/104; TECH 201/202/203/204,lecture; specialized; discussion/lab; computer lab,Spring 2027,"Source grouped CSE 361/362 with instructors (Lee, King); individual instructor mapping is not explicit."
CSE 361A,361A,Undergraduate,,TECH 106,specialized/upper-level/graduate,Spring 2027,
CSE 362,362,Undergraduate,Lee; King,AUD 100; TECH 201/202/203/204; HALL B,lecture; computer lab,Spring 2027,"Source grouped CSE 361/362 with instructors (Lee, King); individual instructor mapping is not explicit."
CSE 377,377,Undergraduate,,TECH 100; TECH 201/202/203/204,upper-level/elective; discussion/lecture,Spring 2027,
CSE 378,378,Undergraduate,Garcia,HALL B,lecture,Spring 2027,
CSE 401,401,Undergraduate,Miller; Jackson,TECH 100; TECH 206; AUD C1,upper-level/elective; 400-level core/graduate; lecture,Spring 2027,
CSE 407,407,Undergraduate,,TECH 106,specialized/upper-level/graduate,Spring 2027,
CSE 411,411,Undergraduate,,TECH 206,400-level core/graduate,Spring 2027,
CSE 412,412,Undergraduate,,TECH 106,specialized/upper-level/graduate,Spring 2027,
CSE 415,415,Undergraduate,,TECH 206,400-level core/graduate,Spring 2027,
CSE 418,418,Undergraduate,Green; Davis,AUD C1,lecture,Spring 2027,
CSE 421,421,Undergraduate,Scott; Wright,AUD C1; HALL B,lecture,Spring 2027,
CSE 422,422,Undergraduate,,TECH 106,specialized/upper-level/graduate,Spring 2027,
CSE 423,423,Undergraduate,,TECH 206,400-level core/graduate,Spring 2027,
CSE 426,426,Undergraduate,Clark,TECH 106,specialized/upper-level/graduate,Spring 2027,
CSE 427,427,Undergraduate,,RESEARCH 206,requested room,Spring 2027,
CSE 428,428,Undergraduate,,TECH 106,specialized/upper-level/graduate,Spring 2027,
CSE 440,440,Undergraduate,,CAMPUS-CTR 240,requested off-site room,Spring 2027,
CSE 442,442,Undergraduate,,CAMPUS-CTR 240,requested off-site room,Spring 2027,
CSE 450,450,Undergraduate,,TECH 206,400-level core/graduate,Spring 2027,
CSE 453,453,Undergraduate,,TECH 100,upper-level/elective,Spring 2027,
CSE 454,454,Undergraduate,,TECH 206,400-level core/graduate,Spring 2027,
CSE 455,455,Undergraduate,,TECH 106,specialized/upper-level/graduate,Spring 2027,
CSE 461,461,Undergraduate,,TECH 106,specialized/upper-level/graduate,Spring 2027,
CSE 472,472,Undergraduate,,TECH 206,400-level core/graduate,Spring 2027,
CSE 474,474,Undergraduate,Lewis,AUD C1,lecture,Spring 2027,
CSE 476,476,Undergraduate,,TECH 106,specialized/upper-level/graduate,Spring 2027,
CSE 478,478,Undergraduate,Taylor,AUD C1,lecture,Spring 2027,
